breach_id,run_id,timestamp,agent_id,policy_breach_type,severity,breach_description,requires_review,environment
breach_000001,run_000003_08bc7b7b,2026-02-04T10:49:03.771687+00:00,agent_invoice_dispute,Data Risk,high,Run used a sensitive synthetic source in a production-like environment.,True,prod
breach_000002,run_000006_d50a1209,2026-02-04T14:06:46.771687+00:00,agent_invoice_dispute,Data Risk,high,Run used a sensitive synthetic source in a production-like environment.,True,prod
breach_000003,run_000007_2b956eb0,2026-02-04T14:22:13.771687+00:00,agent_hr_policy,Data Risk,high,Run used a sensitive synthetic source in a production-like environment.,True,prod
breach_000004,run_000008_a5cb029d,2026-02-04T14:44:34.771687+00:00,agent_hr_policy,Low Groundedness,high,Response confidence fell below the accepted governance threshold.,True,prod
breach_000005,run_000009_941f6342,2026-02-04T15:41:51.771687+00:00,agent_invoice_dispute,Data Risk,high,Run used a sensitive synthetic source in a production-like environment.,True,prod
breach_000006,run_000011_285896d4,2026-02-04T21:03:21.771687+00:00,agent_invoice_dispute,Data Risk,high,Run used a sensitive synthetic source in a production-like environment.,True,prod
breach_000007,run_000017_15009f2f,2026-02-05T05:50:31.771687+00:00,agent_invoice_dispute,Data Risk,high,Run used a sensitive synthetic source in a production-like environment.,True,prod
breach_000008,run_000022_0247a5e0,2026-02-05T12:42:57.771687+00:00,agent_hr_policy,Low Groundedness,high,Response confidence fell below the accepted governance threshold.,True,test
breach_000009,run_000024_bbf53bfd,2026-02-05T15:59:57.771687+00:00,agent_powerbi_optimiser,Low Groundedness,high,Response confidence fell below the accepted governance threshold.,True,dev
breach_000010,run_000026_6f8b9e40,2026-02-05T17:06:13.771687+00:00,agent_powerbi_optimiser,Low Groundedness,high,Response confidence fell below the accepted governance threshold.,True,test
breach_000011,run_000028_5fd8fd19,2026-02-05T18:45:45.771687+00:00,agent_invoice_dispute,Run Failure,medium,Run did not complete and requires operational review.,True,test
breach_000012,run_000030_40a59ebe,2026-02-05T20:54:29.771687+00:00,agent_powerbi_optimiser,Run Failure,medium,Run did not complete and requires operational review.,True,dev
breach_000013,run_000032_28dbfadc,2026-02-06T05:18:06.771687+00:00,agent_invoice_dispute,Run Failure,medium,Run did not complete and requires operational review.,True,test
breach_000014,run_000037_eace5c21,2026-02-06T09:08:56.771687+00:00,agent_hr_policy,Data Risk,high,Run used a sensitive synthetic source in a production-like environment.,True,prod
breach_000015,run_000039_9c18bb55,2026-02-06T11:15:30.771687+00:00,agent_invoice_dispute,Data Risk,high,Run used a sensitive synthetic source in a production-like environment.,True,prod
breach_000016,run_000043_0b999456,2026-02-06T18:24:53.771687+00:00,agent_invoice_dispute,Data Risk,high,Run used a sensitive synthetic source in a production-like environment.,True,prod
breach_000017,run_000044_4186a6a6,2026-02-06T18:26:49.771687+00:00,agent_invoice_dispute,Data Risk,high,Run used a sensitive synthetic source in a production-like environment.,True,prod
breach_000018,run_000047_9cdf5f4a,2026-02-06T20:24:18.771687+00:00,agent_hr_policy,Data Risk,high,Run used a sensitive synthetic source in a production-like environment.,True,prod
breach_000019,run_000051_d7558338,2026-02-07T00:26:58.771687+00:00,agent_powerbi_optimiser,Run Failure,medium,Run did not complete and requires operational review.,True,dev
breach_000020,run_000057_d05c8b36,2026-02-07T08:26:26.771687+00:00,agent_hr_policy,Data Risk,high,Run used a sensitive synthetic source in a production-like environment.,True,prod
breach_000021,run_000060_04edc066,2026-02-07T10:11:40.771687+00:00,agent_invoice_dispute,Run Failure,medium,Run did not complete and requires operational review.,True,dev
breach_000022,run_000061_40210c22,2026-02-07T10:56:04.771687+00:00,agent_invoice_dispute,Run Failure,medium,Run did not complete and requires operational review.,True,prod
breach_000023,run_000062_31d44d22,2026-02-07T12:11:30.771687+00:00,agent_hr_policy,Low Groundedness,high,Response confidence fell below the accepted governance threshold.,True,test
breach_000024,run_000067_cadeea3f,2026-02-07T21:38:45.771687+00:00,agent_invoice_dispute,Data Risk,high,Run used a sensitive synthetic source in a production-like environment.,True,prod
breach_000025,run_000070_4500514a,2026-02-08T01:16:52.771687+00:00,agent_invoice_dispute,Data Risk,high,Run used a sensitive synthetic source in a production-like environment.,True,prod
breach_000026,run_000077_4ad1b936,2026-02-08T05:56:37.771687+00:00,agent_invoice_dispute,Run Failure,high,Run did not complete and requires operational review.,True,test
breach_000027,run_000082_5afc8e2f,2026-02-08T13:50:28.771687+00:00,agent_hr_policy,Low Groundedness,high,Response confidence fell below the accepted governance threshold.,True,prod
breach_000028,run_000088_3e9391c4,2026-02-08T19:18:08.771687+00:00,agent_hr_policy,Data Risk,high,Run used a sensitive synthetic source in a production-like environment.,True,prod
breach_000029,run_000093_4b31e779,2026-02-09T05:09:10.771687+00:00,agent_hr_policy,Data Risk,high,Run used a sensitive synthetic source in a production-like environment.,True,prod
breach_000030,run_000094_bfdbeb6c,2026-02-09T05:18:26.771687+00:00,agent_hr_policy,Data Risk,high,Run used a sensitive synthetic source in a production-like environment.,True,prod
