run_id,timestamp,agent_id,agent_name,business_domain,model_used,input_tokens,output_tokens,estimated_cost_aud,latency_ms,status,risk_level,groundedness_score,user_feedback,policy_breach_type,tool_calls_count,data_source_used,environment
run_000001_4ace1510,2026-02-04T09:04:53.771687+00:00,agent_invoice_dispute,Invoice Dispute Agent,Finance Operations,claude-sonnet,2329,1822,0.0515,2125,success,low,0.734,positive,,2,vendor contract summary,test
run_000002_375f9acb,2026-02-04T09:28:05.771687+00:00,agent_powerbi_optimiser,Power BI Optimiser Agent,Analytics,gpt-4.1,1116,287,0.0068,2822,success,low,0.974,neutral,,3,semantic model metadata,prod
run_000003_08bc7b7b,2026-02-04T10:49:03.771687+00:00,agent_invoice_dispute,Invoice Dispute Agent,Finance Operations,gpt-4.1,1878,257,0.0087,1607,success,high,0.896,neutral,Data Risk,2,invoice ledger extract,prod
run_000004_6611ee4e,2026-02-04T12:04:35.771687+00:00,agent_invoice_dispute,Invoice Dispute Agent,Finance Operations,gpt-4o-mini,2847,271,0.001,828,success,low,0.762,positive,,1,synthetic customer account notes,test
run_000005_bae7455a,2026-02-04T13:09:28.771687+00:00,agent_hr_policy,HR Policy Agent,Human Resources,gpt-4.1,765,695,0.0106,1934,success,low,0.898,positive,,1,HR policy knowledge base,prod
run_000006_d50a1209,2026-02-04T14:06:46.771687+00:00,agent_invoice_dispute,Invoice Dispute Agent,Finance Operations,claude-sonnet,3481,803,0.0337,2265,success,high,0.855,negative,Data Risk,0,synthetic customer account notes,prod
run_000007_2b956eb0,2026-02-04T14:22:13.771687+00:00,agent_hr_policy,HR Policy Agent,Human Resources,claude-sonnet,2069,826,0.0279,2264,success,high,0.739,neutral,Data Risk,0,employee handbook,prod
run_000008_a5cb029d,2026-02-04T14:44:34.771687+00:00,agent_hr_policy,HR Policy Agent,Human Resources,local-gemma,1795,2694,0.0002,252,success,high,0.587,not_provided,Low Groundedness,1,leave policy index,prod
run_000009_941f6342,2026-02-04T15:41:51.771687+00:00,agent_invoice_dispute,Invoice Dispute Agent,Finance Operations,gpt-4.1,1338,609,0.0113,1634,success,high,0.99,positive,Data Risk,1,synthetic customer account notes,prod
run_000010_c57752df,2026-02-04T16:23:51.771687+00:00,agent_invoice_dispute,Invoice Dispute Agent,Finance Operations,gpt-4o-mini,2761,951,0.0016,1067,success,low,0.913,positive,,0,payment dispute queue,prod
