feedback_id,run_id,timestamp,agent_id,user_feedback,feedback_score,feedback_comment
feedback_000001,run_000001_4ace1510,2026-02-04T09:04:53.771687+00:00,agent_invoice_dispute,positive,5,Agent completed the task with clear supporting detail.
feedback_000002,run_000002_375f9acb,2026-02-04T09:28:05.771687+00:00,agent_powerbi_optimiser,neutral,4,Output was partially useful for the reviewer.
feedback_000003,run_000003_08bc7b7b,2026-02-04T10:49:03.771687+00:00,agent_invoice_dispute,neutral,3,Agent completed the task with some manual follow-up.
feedback_000004,run_000004_6611ee4e,2026-02-04T12:04:35.771687+00:00,agent_invoice_dispute,positive,4,Response was useful and aligned with the request.
feedback_000005,run_000005_bae7455a,2026-02-04T13:09:28.771687+00:00,agent_hr_policy,positive,5,Response was useful and aligned with the request.
feedback_000006,run_000006_d50a1209,2026-02-04T14:06:46.771687+00:00,agent_invoice_dispute,negative,2,Reviewer could not rely on the generated answer.
feedback_000007,run_000007_2b956eb0,2026-02-04T14:22:13.771687+00:00,agent_hr_policy,neutral,3,Output was partially useful for the reviewer.
feedback_000008,run_000009_941f6342,2026-02-04T15:41:51.771687+00:00,agent_invoice_dispute,positive,5,Output was easy to validate and ready for review.
feedback_000009,run_000010_c57752df,2026-02-04T16:23:51.771687+00:00,agent_invoice_dispute,positive,5,Output was easy to validate and ready for review.
feedback_000010,run_000011_285896d4,2026-02-04T21:03:21.771687+00:00,agent_invoice_dispute,positive,5,Agent completed the task with clear supporting detail.
feedback_000011,run_000013_6dc5f5eb,2026-02-04T23:16:43.771687+00:00,agent_powerbi_optimiser,neutral,3,Response was acceptable but needed light refinement.
feedback_000012,run_000014_c8285604,2026-02-05T00:53:29.771687+00:00,agent_powerbi_optimiser,positive,4,Response was useful and aligned with the request.
feedback_000013,run_000015_35561bdb,2026-02-05T02:21:52.771687+00:00,agent_powerbi_optimiser,positive,4,Agent completed the task with clear supporting detail.
feedback_000014,run_000016_3deeea73,2026-02-05T03:00:18.771687+00:00,agent_powerbi_optimiser,positive,5,Output was easy to validate and ready for review.
feedback_000015,run_000017_15009f2f,2026-02-05T05:50:31.771687+00:00,agent_invoice_dispute,positive,5,Output was easy to validate and ready for review.
feedback_000016,run_000018_a9d813db,2026-02-05T06:01:59.771687+00:00,agent_invoice_dispute,negative,2,Agent output was not sufficient for the task.
feedback_000017,run_000019_2ff3a937,2026-02-05T06:40:03.771687+00:00,agent_powerbi_optimiser,neutral,3,Output was partially useful for the reviewer.
feedback_000018,run_000021_3285663a,2026-02-05T10:53:17.771687+00:00,agent_powerbi_optimiser,positive,5,Agent completed the task with clear supporting detail.
feedback_000019,run_000022_0247a5e0,2026-02-05T12:42:57.771687+00:00,agent_hr_policy,positive,5,Response was useful and aligned with the request.
feedback_000020,run_000023_75337cc6,2026-02-05T13:37:01.771687+00:00,agent_powerbi_optimiser,positive,5,Response was useful and aligned with the request.
feedback_000021,run_000024_bbf53bfd,2026-02-05T15:59:57.771687+00:00,agent_powerbi_optimiser,positive,5,Agent completed the task with clear supporting detail.
feedback_000022,run_000025_482759ff,2026-02-05T16:34:06.771687+00:00,agent_invoice_dispute,positive,5,Output was easy to validate and ready for review.
feedback_000023,run_000026_6f8b9e40,2026-02-05T17:06:13.771687+00:00,agent_powerbi_optimiser,positive,5,Response was useful and aligned with the request.
feedback_000024,run_000027_b66895be,2026-02-05T18:31:25.771687+00:00,agent_hr_policy,neutral,4,Output was partially useful for the reviewer.
feedback_000025,run_000028_5fd8fd19,2026-02-05T18:45:45.771687+00:00,agent_invoice_dispute,negative,1,Agent output was not sufficient for the task.
feedback_000026,run_000029_35ab6026,2026-02-05T19:53:52.771687+00:00,agent_hr_policy,positive,5,Output was easy to validate and ready for review.
