Work Item Type,Title 1,Title 2,Description,Tags
Epic,IW-v1: Synthetic Data Foundation,,"Retrospective v1, epic 1 of 8. Status: DONE.",IronWatch;v1
User Story,,Design OREXA Heavy Industries fictitious universe,"Titan haul trucks, Kestrel excavators, Ironback graders across 3 fictitious mine sites — avoids Caterpillar/Hastings Deering IP conflict.",IronWatch;v1
User Story,,Model 3 OREXA subsystems with OX- fault taxonomy,"PulseNet (telemetry), FluidLab (oil condition), FleetCare (maintenance history).",IronWatch;v1
User Story,,Build generate_all.py synthetic data generator,"Produces 5 internally-consistent data streams (fleet, telemetry, faults, maintenance, site metadata).",IronWatch;v1
Epic,IW-v1: Medallion Architecture on Fabric,,"Retrospective v1, epic 2 of 8. STATUS UPDATE (19 Jul 2026): Bronze ingestion is Done — 5 Copy Activity pipelines (fleet, telemetry, faults, maintenance, site metadata) built per ADR-007, row counts confirmed against synthetic source files (PR #2). Silver work is in progress and now tracked separately under the ADR-010 epic below (Warehouse re-provisioning done; dbt models not yet written) rather than duplicated here.",IronWatch;v1
User Story,,Build Bronze ingestion pipeline (5x Copy Activity),"ADR-002/ADR-007 specify Data Factory Copy Activity, landing container ironwatch-landing to ironwatch_bronze. Built as 5 Copy Activity pipelines (fleet, telemetry, faults, maintenance, site metadata) via build_bronze_pipelines.py; row counts confirmed against synthetic source files. Done — PR #2.",IronWatch;v1;Done
User Story,,Establish per-stream landing/conformance logic,"Across the 5 synthetic sources; delivered as part of the Bronze Copy Activity pipelines above — each of the 5 sources lands via its own pipeline/dataset pair. Done — PR #2.",IronWatch;v1;Done
User Story,,Silver transform logic (native T-SQL/Dataflow Gen2),"SUPERSEDED by ADR-010: original plan (native T-SQL/Dataflow Gen2) replaced by Silver-as-Warehouse with dbt-fabric handling Silver→Gold. Tracking moved to the 'IW-v1: Silver as Warehouse, dbt-fabric spans Silver→Gold' epic below — do not track further here.",IronWatch;v1;superseded
Epic,"IW-v1: Silver as Warehouse, dbt-fabric spans Silver→Gold",,"New v1 epic (added 19 Jul 2026), per ADR-010 (accepted 2026-07-18, docs/ADR/ADR-010-silver-warehouse-dbt-scope.md). Re-scopes Silver from Lakehouse/native-T-SQL to Warehouse/dbt-fabric so a single dbt project spans Silver→Gold.",IronWatch;v1;ADR-010
User Story,,Re-provision ironwatch_silver as a Fabric Warehouse,"Old Lakehouse item deleted, new Warehouse item created (d500a99b-6f2a-41d8-9cf4-97a8153931d9); scripts/infra/config.py updated to match. Done — PR #6.",IronWatch;v1;ADR-010;Done
User Story,,Migrate sources.yml and profiles.yml for Silver dbt target,"sources.yml: silver Lakehouse source removed, bronze source added so dbt reads from Bronze. profiles.yml gained a new silver target. dbt debug --target silver passes end-to-end. Done — PR #6.",IronWatch;v1;ADR-010;Done
User Story,,Build run_dbt.py audit wrapper,"scripts/infra/run_dbt.py wraps dbt run with audit-log writes to _ironwatch_meta/execution_log; verified end-to-end. Done — PR #6.",IronWatch;v1;ADR-010;Done
User Story,,Write real Silver dbt models,"stg_telemetry and siblings under transform/ironwatch_gold/models/silver/ — currently empty stubs. Everything it depends on is in place (Warehouse exists, sources.yml points at Bronze, dbt debug passes, runs get logged via run_dbt.py). Not started — this is the next task.",IronWatch;v1;ADR-010;NotStarted
Epic,IW-v1: Engineering practice — CodeRabbit + automated PR gate,,"New v1 epic (added 19 Jul 2026). Branch protection, CodeRabbit-gated auto-merge, and /ship + /ship-status slash commands — built and verified across PRs #1-#7 this session.",IronWatch;v1
User Story,,Scope CodeRabbit review to ironwatch-v1/,".coderabbit.yaml added at repo root; monorepo shares this repo with agent-control-tower-mvp and fabric-f2-zerocopy-sources, both excluded from review. Done — PR #1.",IronWatch;v1;Done
User Story,,Enable branch protection on main gated by CodeRabbit + 1 approval,"main requires the 'CodeRabbit' status check and 1 approving PR review before merge (confirmed via GitHub branch protection API); force-push and branch deletion disabled. Done.",IronWatch;v1;Done
User Story,,Build /ship slash command,"Commit-to-PR-to-auto-merge flow with exclusion checks for sensitive paths (e.g. docs/ADR/**) and bounded CodeRabbit polling. .claude/commands/ship.md. Done — PR #3.",IronWatch;v1;Done
User Story,,Build /ship-status slash command,"Checks queued auto-merge PRs and reconciles develop against main after a squash-merge. .claude/commands/ship-status.md. Done — PR #3.",IronWatch;v1;Done
User Story,,Verify the gate end-to-end across PRs #1-#7,"Confirmed exclusion checks are PR-scoped not commit-scoped, CodeRabbit review can lag its own status comment by 30-90+ seconds, and develop/main reconciliation needs git reset --hard (not rebase) after squash-merges. Done.",IronWatch;v1;Done
Epic,IW-v1: Full documentation audit and correction,,"New v1 epic (added 19 Jul 2026). Read-only audit compared README.md, ARCHITECTURE.md, and WORKSPACE_DESIGN.md against actual built/decided state (live Fabric queries, dbt project state, .coderabbit.yaml, .claude/commands/); every confirmed gap fixed. Done — PR #7.",IronWatch;v1
